H	Tau
T	
0.7136619857	0.238871
0.7214560298	0.239089
0.7299462934	0.239227
0.743328178	0.239361
0.7555617516	0.23937
0.7632111255	0.239449
0.7760414579	0.239825
0.7867650474	0.240083
0.8023169639	0.240269
0.8138814407	0.240592
0.8247496976	0.240856
0.8355817867	0.241041
0.8434752871	0.241171
0.85333086	0.241369
0.8688737304	0.241606
0.8845612688	0.241949
0.8936844535	0.242377
0.9094804918	0.242677
0.9193993545	0.24284
0.9286943321	0.243047
0.9413799866	0.243338
0.9519317742	0.243491
0.9658742383	0.243744
0.977339247	0.243951
0.9833791725	0.244052
0.9974572615	0.244491
1.01639984	0.245042
1.025658646	0.245113
1.042051433	0.245416
1.051201736	0.245751
1.058435177	0.245912
1.073742946	0.24626
1.080551421	0.246387
1.098092512	0.246546
1.107839572	0.246762
1.115280972	0.246965
1.126574177	0.247141
1.139775202	0.247512
1.150824277	0.247691
1.164830019	0.248155
1.180626036	0.248322
1.192398452	0.24851
1.195129074	0.248624
1.212561653	0.248941
1.224894658	0.249145
1.235835227	0.249312
1.247960269	0.249711
1.263891905	0.250091
1.273042196	0.250243
1.287997316	0.250652
1.298693752	0.250993
1.307744582	0.251224
1.324444763	0.25159
1.330945808	0.251874
1.347853948	0.252094
1.355747426	0.252237
1.362845227	0.252438
1.378849185	0.252778
1.389645075	0.253001
1.399536785	0.253252
1.407538762	0.253444
1.414419558	0.253672
1.42133652	0.253873
1.436951675	0.254228
1.445722202	0.254387
1.454773022	0.25447
1.463263252	0.254666
1.47972833	0.255147
1.486961751	0.25552
1.496491784	0.255762
1.506491988	0.255931
1.514421624	0.25627
1.522423595	0.256571
1.535941047	0.256976
1.546465671	0.257034
1.553907049	0.257268
1.563545578	0.257499
1.575987055	0.257909
1.583048678	0.258107
1.602054477	0.258465
1.610752659	0.258869
1.619975262	0.259019
1.634758551	0.259268
1.647236188	0.25975
1.654397266	0.260053
1.662435395	0.260532
1.675889539	0.261199
1.685916855	0.261752
1.69363852	0.261915
1.702580822	0.261937
1.710546613	0.261975
1.718548571	0.261919
1.735076908	0.261986
1.745031884	0.262444
1.750031976	0.262733
1.76219314	0.262915
1.776415822	0.263587
1.790105039	0.264185
1.800873769	0.264486
1.81232967	0.264775
1.82466262	0.265408
1.831588602	0.265755
1.84346042	0.265996
1.856570958	0.266188
1.86568504	0.266312
1.874075783	0.266538
1.886860813	0.266889
1.893153868	0.26714
1.901119647	0.267329
1.921906617	0.268122
1.939619392	0.268753
1.956391822	0.269529
1.964574597	0.269712
1.974457218	0.269928
1.990253135	0.270294
1.997278565	0.270515
2.006537304	0.270734
2.016844882	0.270915
2.029666062	0.271345
2.041266606	0.271754
2.047622945	0.272008
2.058355481	0.272402
2.066149453	0.272624
2.07501939	0.272757
2.084694041	0.27291
2.099621935	0.272931
2.107443029	0.272965
2.11467641	0.273221
2.130607931	0.273909
2.147036743	0.274425
2.156955513	0.27503
2.165662691	0.275681
2.173447613	0.275975
2.187181986	0.276194
2.197697505	0.276208
2.207589144	0.276285
2.220898551	0.276722
2.230862522	0.276954
2.246088769	0.277263
2.261785182	0.277686
2.270826894	0.278156
2.286658928	0.278565
2.295989972	0.278846
2.30545664	0.279222
2.313738844	0.279621
2.321568961	0.279715
2.329878289	0.279834
2.343269053	0.280173
2.354652557	0.280328
2.360981748	0.280609
2.366958313	0.280723
2.3836945	0.281261
2.396027377	0.281626
2.402944276	0.281956
2.413911854	0.282554
2.417338657	0.282978
2.430304447	0.283379
2.442673484	0.28378
2.44927392	0.283901
2.461679121	0.284115
2.469816642	0.284206
2.48564864	0.284449
2.499138838	0.284945
2.510802613	0.285466
2.520242132	0.285725
2.52807223	0.285884
2.542077797	0.286443
2.552105022	0.286752
2.558190072	0.28689
2.569474088	0.287035
2.579221018	0.28733
2.584465191	0.287775
2.597810705	0.288507
2.610423841	0.288712
2.615460054	0.288908
2.625514394	0.289127
2.641735152	0.289302
2.652286781	0.289381
2.66664495	0.289756
2.674013909	0.290192
2.684185783	0.290512
2.696274489	0.291299
2.708082901	0.291798
2.71737773	0.29197
2.726781057	0.292141
2.739186214	0.292781
2.750605828	0.293288
2.754349074	0.293671
2.7672696	0.293927
2.77852646	0.294278
2.792396356	0.294321
2.798544679	0.294355
2.813499569	0.294579
2.823987882	0.295393
2.836808938	0.296025
2.850154407	0.295866
2.856510683	0.295763
2.86441308	0.295985
2.874015304	0.296296
2.881736866	0.29652
2.895642908	0.297697
2.906863581	0.298543
2.912803937	0.298757
2.928979424	0.29865
2.940823964	0.298784
2.950959634	0.298771
2.964341248	0.29899
2.978880188	0.300055
2.98911531	0.300466
2.998057479	0.300549
3.014169654	0.301106
3.022379447	0.301615
3.032614563	0.301704
3.045399414	0.30168
3.061755701	0.302464
3.07125844	0.303041
3.079649059	0.303265
3.092922148	0.303625
3.109902294	0.304129
3.118256742	0.304401
3.138030738	0.304369
3.154278503	0.304786
3.169025358	0.305722
3.178076001	0.305958
3.189115794	0.306254
3.201972947	0.30676
3.217171871	0.307462
3.229576938	0.307915
3.237090502	0.308231
3.245960304	0.308523
3.252669164	0.308693
3.260255058	0.308837
3.274441309	0.309129
3.284784884	0.309274
3.294775835	0.309327
3.303338215	0.30952
3.317036211	0.310361
3.326746868	0.310709
3.335833654	0.310817
3.344703442	0.311134
3.351448457	0.311405
3.361439398	0.311495
3.374929425	0.312349
3.384920361	0.312966
3.393970973	0.313039
